experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
70,RUN_3,split 60/40,0.4,42,0.001,75,0.502732,0.75,0.032258,0.061856,0.361783,0.356866,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
71,RUN_3,split 60/40,0.4,42,0.001,100,0.89071,0.892473,0.892473,0.892473,0.890681,0.89071,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
72,RUN_1,split 80/20,0.2,7,0.01,25,0.826087,0.829787,0.829787,0.829787,0.826005,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
73,RUN_1,split 80/20,0.2,7,0.01,50,0.478261,0.0,0.0,0.0,0.323529,0.316496,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
74,RUN_1,split 80/20,0.2,7,0.01,75,0.826087,0.829787,0.829787,0.829787,0.826005,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
75,RUN_1,split 80/20,0.2,7,0.01,100,0.826087,0.860465,0.787234,0.822222,0.826005,0.825922,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
76,RUN_1,split 80/20,0.2,7,0.05,25,0.826087,0.829787,0.829787,0.829787,0.826005,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
77,RUN_1,split 80/20,0.2,7,0.05,50,0.869565,0.948718,0.787234,0.860465,0.869008,0.868822,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
78,RUN_1,split 80/20,0.2,7,0.05,75,0.826087,0.829787,0.829787,0.829787,0.826005,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
79,RUN_1,split 80/20,0.2,7,0.05,100,0.869565,0.948718,0.787234,0.860465,0.869008,0.868822,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
80,RUN_1,split 80/20,0.2,7,0.001,25,0.826087,0.829787,0.829787,0.829787,0.826005,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
81,RUN_1,split 80/20,0.2,7,0.001,50,0.478261,0.0,0.0,0.0,0.323529,0.316496,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
82,RUN_1,split 80/20,0.2,7,0.001,75,0.826087,0.829787,0.829787,0.829787,0.826005,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
83,RUN_1,split 80/20,0.2,7,0.001,100,0.478261,0.0,0.0,0.0,0.323529,0.316496,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
84,RUN_2,split 70/30,0.3,7,0.01,25,0.84058,0.833333,0.857143,0.84507,0.840446,0.840513,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
85,RUN_2,split 70/30,0.3,7,0.01,50,0.84058,0.833333,0.857143,0.84507,0.840446,0.840513,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
86,RUN_2,split 70/30,0.3,7,0.01,75,0.485507,0.454545,0.071429,0.123457,0.379677,0.375964,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
87,RUN_2,split 70/30,0.3,7,0.01,100,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
88,RUN_2,split 70/30,0.3,7,0.05,25,0.84058,0.833333,0.857143,0.84507,0.840446,0.840513,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
89,RUN_2,split 70/30,0.3,7,0.05,50,0.746377,0.948718,0.528571,0.678899,0.734659,0.733851,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
90,RUN_2,split 70/30,0.3,7,0.05,75,0.847826,0.945455,0.742857,0.832,0.846464,0.846254,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
91,RUN_2,split 70/30,0.3,7,0.05,100,0.905797,0.901408,0.914286,0.907801,0.905753,0.905782,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
92,RUN_2,split 70/30,0.3,7,0.001,25,0.478261,0.25,0.014286,0.027027,0.335296,0.330828,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
